compra_renta,tipo,precio,superficie,municipio
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,CASA EN VENTA FRESNOS APODACA,"$910,000",105 m²,Fresnos IV
Venta,Casa en Venta en Valle de Cristal,"$10,800,000",320 m²,Centro de Allende
Venta,CASA EN VENTA  FRACCIONAMIENTO COLINAS DEL VALLE ZONA VALLE  ZONA CUMBRES MONTERREY N L,"$6,490,000",163 m²,Colinas del Valle
Venta,Casa en venta Cumbres San Agustín Monterrey,"$2,800,000",156 m²,Cumbres San Agustín
Venta,"Casa en Venta Pedregal de San Agustín Escobedo, Nuevo León","$1,890,000",,Pedregal de San Agustin
Venta,"Espectacular Casa en Venta en Santoral, García","$4,399,000",170 m²,N.L.
Venta,Casa en venta Porto cumbres Venecia,"$3,950,000",152 m²,Sin Nombre de Col 15
Venta,Departamentos amplios en Santa Catarina Nuevo León,"$2,600,000",,Bosques del Poniente 4to Sector
Venta,Casa en venta Valle de las Palmas Apodaca,"$2,435,000",90 m²,Cd Apodaca
Venta,"Casa En Venta Cumbres Elite Premier en García, Nuevo León","$4,300,000",144 m²,N.L.
Venta,"Casa en Venta Carretera Nacional en Montealban Residencial, Monterrey","$9,108,710",331 m²,Monterrey
Venta,Casa en venta Cumbre Provenza Garcia,"$2,400,000",112 m²,Dominio Cumbres
Venta,Casa en venta Valle de Lincoln 2 sector Garcia,"$700,000",119 m²,Valle de Lincoln
Venta,Casa en venta Murano Residencial Garcia N.L,"$2,650,000",126 m²,N.L.
Venta,Residencia en Preventa Colonial San Agustín San Pedro Garza Garcia,"$42,500,000",557 m²,Jardines de San Agustín 1er Sector
Venta,"Casa Muy Amplia en Venta Santoral, García","$4,500,000",152 m²,N.L.
Venta,Casa en venta Mitras Poniente Garcia,"$1,120,000",74 m²,Mitras Poniente
Venta,Casa en venta Britania Cumbres García,"$3,000,000",120 m²,N.L.
Venta,Departamento - Punto Central,"$38,600,000",,Los Arcángeles
Venta,Departamento - Centro,"$5,857,290",,Centro
Venta,Casa - Valle Alto,"$12,000,000",,Valle Alto
Venta,Departamento - Del Valle Oriente,"$13,330,000",,Santa Fe
Venta,CASA EN VENTA MONTERREY CENTRO,"$2,100,000",138 m²,Centro
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,887,420",38-92 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,Casa en venta en Jardines de San Jorge Apodaca NL atrás de Soriana Huinalá,"$1,450,000",106 m²,Mirador Huinala
Venta,Casa - Laderas Residencial,"$7,690,000",251 m²,Sin Nombre de Col 51
Venta,CASA EN VENTA EN JUAREZ EN PRIVADA LOS CYRANOS EN NUEVO LEON CON EXCEDENTE,"$690,000",124 m²,Mirador
Venta,CASA EN LOS CEDROS MTY,"$6,500,000",360 m²,Los Cedros
Venta,Casa en Venta en el Centro de Monterrey,"$2,100,000",179 m²,Centro
Venta,Casa en Venta en el centro de Monterrey,"$2,100,000",133 m²,Centro
Venta,Casa en venta en Jardines de Andalucia,"$1,950,000",105 m²,Jardines de Andalucía
Venta,CASA EN VENTA FRESNOS APODACA,"$910,000",105 m²,Fresnos IV
Venta,Casa en Santa Catarina,"$2,500,000",615 m²,Provivienda del Poniente 2do Sector
Venta,CASA EN SAN  NICOLAS,"$2,500,000",,Centro
Venta,CASA DE VENTA EN SOL RESIDENCIAL (JUÁREZ),"$1,870,000",105 m²,Paseo del Prado
Venta,"Casa en Venta en La Joya, Monterrey","$21,500,000",424 m²,Sin Nombre de Col 51
Venta,CASA EN VENTA CORRAL DE PIEDRA SAN NICOLÁS,"$1,400,000",102 m²,Antiguo Corral de Piedra 1er Sector
Venta,Casa en Pre Venta en Bosque de San Pedro,"$4,900,000",200 m²,Bosques de San Pedro
Venta,"Departamento en Venta en Corral de Piedra, San Nicolas,  Nuevo León","$1,250,000",,Antiguo Corral de Piedra 1er Sector
Venta,Cerradas de Santa Rosa,"$2,500,000",117 m²,Cd Apodaca
Venta,Casa en Barrio San Carlos,"$1,000,000",,Barrio San Carlos
Venta,"Departamento en Venta en George Towers, Cumbres Oro, Monterrey","$2,850,000",,Cumbres 1º Sector
Venta,Casa en Pablo de la Garza,"$6,350,000",492 m²,Pablo A. de La Garza
Venta,Espectacular Quinta en los Cavazos,"$39,000,000",10000 m²,Piedra de Fierro
Venta,Hermosa casa en Contry la Silla,"$15,500,000",452 m²,Contry La Silla 1er Sector
Venta,Casa en Barrio Estrella Elite,"$2,240,000",90 m²,Barrio Estrella
Venta,"Venta de Casa en La Rioja, Carretera Nacional","$8,500,000",312 m²,El Realito
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,887,420",38-92 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,CASA EN VENTA EN MONTERREY CARRETERA NACIONAL CAROLCO,"$12,980,000",330 m²,Monterrey
Venta,Casa en Venta en Real del Valle,"$2,600,000",150 m²,Real del Valle 2 Sector
Venta,Preventa Apartamentos AMARILLO MOCA 247 Centro de Monterrey,"$3,512,602",65 m²,Centro
Venta,Casa Cumbres 2do sector,"$7,900,000",400 m²,Cumbres Elite 2do. Sector
Venta,Casa en Residencial Los Robles,"$1,500,000",70 m²,Residencial Los Robles
Venta,"Casa Proyecto en Venta en Santa Isabel, El Uro","$10,500,000",336 m²,Cerro de La Campaña
Venta,"Casa en Venta en el Alamo, Santiago, Nuevo León","$4,990,000",300 m²,Santiago
Venta,"Casa en Venta en el Centro , Monterrey","$3,990,000",417 m²,Centro
Venta,Hermosa Casa en Contry la Silla,"$15,500,000",452 m²,Contry La Silla 1er Sector
Venta,HERMOSA CASA EN SAN NICOLAS,"$3,650,000",250 m²,Casa Bella 1er Sector
Venta,"CASA VENTA EN LA COLONIA FRANCISCO VILLA, MONTERREY","$800,000",137 m²,Francisco Villa
Venta,Hermosa Casa en Venta Valle de San Angel,"$85,000,000",2103 m²,Valle de San Angel Sector Francés
Venta,Venta de Preciosa casa en Rinconada Colonial,"$3,420,000",124 m²,N.L.
Venta,"CASA EN VENTA $630,000 APODACA","$630,000",90 m²,Fraccionamiento Misión de San Javier
Venta,"CASA EN VENTA 380,000. MIRADOR DE SAN ANTONIO, JUAREZ, N.L.","$380,000",53 m²,N.L.
Venta,"CASA EN VENTA $610,000 PASEO DEL PRADO, JUAREZ, N.L-.","$610,000",90 m²,Paseo del Prado
Venta,"CASA INDIVIDUAL EN VENTA $490,000 VALLE DEL ROBLE","$490,000",90 m²,Valle del Roble
Venta,VENTA DE CASA EN LAS MALVINAS ESCOBEDO,"$1,850,000",280 m²,Lázaro Cárdenas
Venta,AO VENTA DE CASA EN ESCOBEDO CON ALBERCA,"$3,500,000",133 m²,Sin Nombre de Col 15
Venta,VENTA DE CASA EN PEDRO LOZANO CENTRO,"$1,750,000",160 m²,Pedro Lozano
Venta,Casa en VENTA a estrenar priv Altares  carr nacional Monterrey,"$4,750,000",200 m²,Los Cavazos
Venta,Casa en VENTA zona contry cerca del cerro de la silla,"$8,900,000",391 m²,Contry La Silla 5o Sector
Venta,Casa en VENTA a estrenar fracc priv castaños del vergel carr nacional Monterrey,"$7,690,000",251 m²,Sin Nombre de Col 51
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
