compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,Distrito 1000 es un nuevo proyecto residencial vertical localizado,"$2,750,000",,Sin Nombre de Col 9,2,2
Venta,Departamento LOFT en venta zona contry tec Monterrey,"$1,965,000",,Contry,6+,1
Venta,Departamento en Venta torre con amenidades loma larga centro de monterrey,"$4,381,161",,Monterrey,2,2
Venta,Departamento en Venta Arboledas San Pedro Garza Garcia Monterrey,"$14,700,000",,Valle del Campestre,2,2
Venta,Departamento Loft VENTA NO CREDITOS cumbres 2o sec Monterrey,"$1,550,000",,Cumbres 2o. Sector Secc C,6+,1
Venta,SE VENDE DEPARTAMENTO 3er PISO,"$330,000",,N.L.,2,1
Venta,Departamento En Venta Del Valle San Pedro Garza Garcia,"$13,000,000",340 m²,Cumbres 1º Sector,0,
Venta,"PRO4502 Departamentos en Venta, Centro en Monterrey","$2,600,000",56 m²,Centro,2,2
Venta,"PRO4449 Departamentos en Venta, Santa Maria en Monterrey","$4,600,000",83 m²,Cumbres del Valle,1,1
Venta,"PRO4518 Departamentos en Venta, Centro en Monterrey","$3,425,000",72 m²,Centro,2,2
Venta,ULTIMOS DEPARTAMENTOS EN PREVENTA HUASTECA VALLE PONIENTE!!.,"$4,900,000",,Loma Pelona,2,3
Venta,Departamento en venta San Pedro Garza Garcia,"$25,000,000",,Zona Santa Engracia,3,3
Venta,Venta de departamentos en cumbres torre stela,"$2,636,566",,Cima del Bosque,3,2
Venta,Venta de departamentos en colinas de san jeronimo,"$5,542,000",,Colinas de San Jerónimo,1,1
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,Departamento - Punto Central,"$38,600,000",,Los Arcángeles,3,3
Venta,DEPARTAMENTOS EN VENTA EN EL CENTRO DE MONTERREY NL,"$1,504,740",,Centro,1,1
Venta,RZ VENTA DE DEPARTAMENTO EN CENTRO DE MONTERREY NL,"$4,142,000",94 m²,Centro,2,2
Venta,"Departamento en Venta, San Pedro Garza García, Nuevo León","$17,180,000",1 m²,Valle del Campestre,3,3
Venta,Departamentos Venta San Pedro Garza García Cortijo Del Valle,"$38,190,000",577 m²,Carrizalejo,2,
Venta,PRE VENTA DEPARTAMENTO por avenida revolución CONTRY MONTERREY,"$2,771,400",,Contry,1,1
Venta,PREVENTA DE DEPARTAMENTO EN CENTRITO VALLE SAN PEDRO,"$10,433,165",,Del Valle,2,2
Venta,DEPARTAMENTO EN PRE VENTA SAN JERONIMO MONTERREY,"$6,260,896",,San Jeronimo,2,2
Venta,DEPARTAMENTO EN VENTA SAN JERONIMO MONTERREY,"$7,244,676",,San Jeronimo,3,2
Venta,PRE VENTA PENTHOUSE EN SAN JERÓNIMO MONTERREY,"$13,798,241",,San Jeronimo,3,3
Venta,DEPARTAMENTO EN VENTA TIPO LOFT por macroplaza CENTRO MONTERREY,"$2,000,500",,Centro,1,1
Venta,"DEPARTAMENTO EN PRE VENTA POR LA LOMA LARGA, MONTERREY","$4,608,174",,Monterrey,2,2
Venta,Departamentos Venta San Pedro Garza García Cortijo Del Valle,"$17,110,000",415 m²,Carrizalejo,3,1
Venta,Departamentos Venta Monterrey Zona Mitras 62-DV-307,"$1,931,500",68 m²,Mitras Centro,2,2
Venta,Departamentos Venta San Pedro Garza García Zona Valle 40-DV-2400,"$14,880,000",369 m²,Valle de Chipinque,2,2
Venta,Departamentos en Venta - CENTRO DE MONTERREY,"$2,958,499",,Centro,2,2
Venta,Departamentos en Venta - CENTRO DE MONTERREY - 2 y 3 Recámaras,"$2,474,619",,Centro,2,2
Venta,Departamento en Venta - Cumbres 2do sector en Monterrey N.L.,"$1,400,000",,Cumbres Elite 7o. Sector,1,1
Venta,Departamentos Venta Monterrey Zona Mitras 27-DV-2751,"$1,990,000",50 m²,Central,1,1
Venta,"Departamentos en Venta -LOMAS DEL PASEO EN MONTERREY, VISTAS INCREIBLES 140 M2","$7,282,000",,Predio Aldape,3,4+
Venta,Departamentos Venta Santa Catarina Zona Valle 24-DV-5124,"$4,457,012",72 m²,Protexa Industrial,2,2
Venta,Departamentos en VENTA San Jeronimo cerca de puente atirantado Monterrey,"$4,000,000",,Cumbres del Valle,1,1
Venta,Departamento en VENTA Zona centro 2 recmaras Monterrey H47,"$3,484,158",,Centro,2,2
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,DEPARTAMENTOS EN VENTA EN VALLE PONIENTE,"$8,390,000",,Protexa Industrial,6+,
Venta,Departamento - Cumbres 4to Sector,"$2,850,000",,Monterrey,3,3
Venta,DEPARTAMENTO EN VENTA A 2 MINUTOS DE ROMULO GARZA CORRAL DE PIEDRA EN SAN NICOLAS,"$1,350,000",88 m²,Sin Nombre de Col 36,2,1
Venta,Departamento en venta 2 recamaras carr nacional Monterrey,"$3,408,120",,Monterrey,2,2
Venta,Departamento loft y local comercial en VENTA Cerca UDEM Via Cordillera,"$7,500,000",,Sin Nombre de Col 25,6+,1
Venta,Departamento VENTA Cerca UANL Medicina Zona Obispado Col Chepevera Monterrey,"$3,706,397",,Chepevera,2,2
Venta,Departamento En Venta Valle Oriente San Pedro Garza Garcia,"$25,200,000",333 m²,Valle Oriente,3,3
Venta,Departamentos Venta Monterrey Zona Centro 24-DV-5167,"$3,189,901",82 m²,Centro,2,2
Venta,Departamento En Venta Valle Oriente San Pedro Garza Garcia,"$9,529,000",140 m²,Valle Oriente,2,2
Venta,Venta departamento San Jeronimo Monterrey,"$5,782,000",,Cumbres del Valle,1,2
Venta,Departamento en VENTA con Jardin privado PB T. Etherea San Jeronimo Monterrey,"$4,650,000",,Monterrey,2,2
Venta,Departamento en PreVenta 1 rec Zona centro muy cerca de Macroplaza Monterrey,"$3,800,000",,Centro,1,1
Venta,Lujoso Departamento en VENTA San Jerónimo Monterrey,"$6,600,000",,Las Colinas Residencial,2,2
Venta,Departamento en VENTA torre Tule con alberca cerca udem Valle Poniente Monterrey,"$4,400,000",,Santa Catarina,2,2
Venta,DEPTO EN VENTA FRENTE AL PARQUE FUNDIDORA!!,"$3,050,000",,Acero,1,1
Venta,Departamentos Venta Monterrey Zona Valle 27-DV-2780,"$3,439,000",84 m²,Cumbres del Valle,2,2
Venta,Departamentos Venta San Pedro Garza García Zona Valle 40-DV-2381,"$38,190,000",577 m²,Privada Sierra Madre,2,3
Venta,Departamentos Venta Santa Catarina Zona Santa Catarina 27-DV-2763,"$3,768,000",106 m²,INFONAVIT Sta Catarina,2,2
Venta,Departamentos Venta San Pedro Garza García Zona Valle 27-DV-1990,"$27,550,000",334 m²,San Pedro Garza García,3,3
Venta,DEPARTAMENTO EN VENTA por carranza ZONA CENTRO DE MONTERREY,"$2,800,000",,Centro,1,1
Venta,DEPARTAMENTO EN VENTA AMUEBLADO por santa lucia CENTRO DE MONTERREY,"$4,500,000",,Centro,1,1
Venta,PREVENTA DEPARTAMENTO CENTRO DE MONTERREY,"$3,500,000",,Centro,1,1
Venta,DEPARTAMENTO EN VENTA CENTRO DE MONTERREY,"$2,800,000",,Industrial,1,1
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,Departamento en venta a 5 minutos del Centro de Monterrey,"$2,350,000",83 m²,Independencia,3,1
Venta,Departamento en VENTA planta baja con jardin GAIA carr nacional Monterrey,"$4,400,000",,Granja Postal,6+,
