compra_renta,tipo,precio,superficie,municipio
Venta,"CASA EN VENTA COLINAS DE SAN JERONIMO, MONTERREY, N.L.","$10,500,000",472 m²,Colinas de San Jerónimo 8o. Sector
Venta,Casa Carretera Nacional Privada de 4 recámaras 1 en Planta Baja Jardín / House Private ...,"$13,000,000",466 m²,Sin Nombre de Col 51
Venta,Venta Casa 3 Recamaras en Privada con Alberca Carretera Nacional Monterrey Nuevo Leon,"$10,300,000",280 m²,La Joya Privada Residencial
Venta,Casa de 2 plantas 3 recamaras y alberca en La Joya Privada Residencial,"$12,500,000",459 m²,La Joya Privada Residencial
Venta,VENTA Casa 3 recamaras jardin alberca Privada Carretera Nacional Monterrey N L Monterrey NL,"$14,300,000",462 m²,Sin Nombre de Col 51
Venta,"Venta Casa 4 Recámaras 1 en Planta Baja Jardín Carolco Monterrey, N L  / Sale House 4 B...","$12,980,000",330 m²,La Bola
Venta,"PRO5409 Casas en Venta, Valle Sector Oriente en San Pedro Garza Garcia","$12,000,000",365 m²,Valle Oriente
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,Quinta en Venta Portal del Norte Zuazua,"$10,499,000",901 m²,Portal del Norte
Venta,DEPARTAMENTO EN VENTA EN CENTRO MONTERREY,"$4,145,000",,Centro
Venta,CASA EN PREVENTA EN SAN PEDRO GARZA GARCIA LOMAS DEL VALLE,"$72,700,000",1252 m²,Lomas del Valle
Venta,"PRO5416 Casas en Venta, Vivenza en San Nicolas de los Garza","$4,100,000",119 m²,Alcatraces Residencial
Venta,"PRO5413 Departamentos en Venta, Centro en Monterrey","$3,243,349",55 m²,Centro
Venta,Casa en Venta Mision Cumbres,"$3,565,000",194 m²,Misión Cumbres
Venta,Casa en Venta San Isidro,"$2,900,000",130 m²,San Isidro
Venta,Casa en Venta Dream Lagoons,"$2,450,000",112 m²,Dream Lagoons
Venta,VENTA de CASA de 4 Recamaras en Fracc CEREZOS Residencial Carretera Nacional Monterrey NL,"$9,300,000",375 m²,Sin Nombre de Col 51
Venta,Casa en venta en Residencial Los Morales San Nicolás De Los Garza Nuevo León,"$3,800,000",113 m²,Tacuba
Venta,Casa en venta en la colonia Independencia Monterrey a 1 cuadra de la Basílica,"$1,700,000",108 m²,Independencia
Venta,Residencia en VENTA Cola de Caballo Cieneguilla Santiago NL,"$15,000,000",670 m²,N.L.
Venta,DEPARTAMENTO EN VENTA EN TORRE ARCANGELES NL,"$8,900,000",,Villas de Aragón
Venta,RESIDENCIAL EN VENTA EN VALLE DORADO SANTIAGO NL,"$9,200,000",998 m²,Los Maleaños
Venta,CASA EN VENTA EN CONTRY SOL GUADALUPE NL,"$9,000,000",283 m²,Contry Sol
Venta,CASA VENTA CUMBRES,"$7,500,000",238 m²,Paseo de Cumbres 3ER Sector
Venta,RESIDENCIA VENTA THESSALIA,"$6,250,000",160 m²,Pedregal La Silla
Venta,Casa en venta en Parques Diamante García NL muy cerca de Av Lincoln,"$1,000,000",105 m²,Parques Diamante
Venta,VENTA de CASA en COLINAS DE SAN JERONIMO 6to Sector MONTERREY Nuevo Leon,"$6,400,000",231 m²,Colinas de San Jerónimo
Venta,VENTA de DEPARTAMENTOS en SAN PEDRO GARZA GARCIA NUEVO LEON,"$6,700,000",46 m²,Zona Campestre
Venta,CASA EN VENTA  COLONIA LINDA VISTA GUADALUPE NUEVO LEON A 2 CUADRAS DE MIGUEL ALEMAN,"$5,700,000",150 m²,Linda Vista
Venta,Departamentos en VENTA zona Centro,"$2,800,000",5000 m²,Centrika
Venta,Departamento en Venta Valle Poniente,"$4,950,000",,Zona Valle Poniente
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
